step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
50;0;1674569496399;50;47;336;489;9.63;0.69;74.50;0.08;286;0;0;139.00;1
51;0;1674569496400;51;48;339;489;9.43;0.68;74.73;0.08;288;0;0;140.00;1
52;0;1674569496401;52;52;342;489;9.26;0.67;75.46;0.08;290;0;0;141.00;1
52;0;1674569496403;52;56;344;489;9.08;0.65;75.46;0.09;292;0;0;142.00;0
52;0;1674569496404;52;60;346;489;8.94;0.64;75.46;0.09;294;0;0;143.00;0
52;0;1674569496405;52;67;349;489;8.76;0.63;75.46;0.09;297;0;0;144.00;0
53;0;1674569496406;53;74;354;489;8.48;0.61;76.43;0.08;301;0;0;145.00;0
53;0;1674569496407;53;73;356;489;8.33;0.60;76.43;0.08;303;0;0;146.00;1
53;0;1674569496408;53;78;357;489;8.17;0.59;76.43;0.09;304;0;0;147.00;0
53;0;1674569496409;53;82;358;489;8.07;0.58;76.43;0.09;305;0;0;148.00;1
54;0;1674569496410;54;86;360;489;7.93;0.57;77.33;0.09;306;0;0;149.00;1
55;0;1674569496412;55;92;365;489;7.70;0.55;78.00;0.09;310;0;0;150.00;0
55;0;1674569496413;55;95;367;489;7.46;0.54;78.00;0.09;312;0;0;151.00;0
57;0;1674569496414;57;98;369;489;7.26;0.52;79.21;0.09;312;0;0;152.00;0
58;0;1674569496415;58;103;372;489;7.07;0.51;79.55;0.09;314;0;0;153.00;0
58;0;1674569496416;58;111;376;489;6.93;0.50;79.55;0.09;318;0;0;154.00;0
58;0;1674569496418;58;112;378;489;6.78;0.49;79.55;0.09;320;0;0;155.00;0
59;0;1674569496419;59;118;380;489;6.64;0.48;79.51;0.09;321;0;0;156.00;0
60;0;1674569496420;60;118;383;489;6.44;0.46;79.18;0.09;323;0;0;157.00;0
60;0;1674569496421;60;124;384;489;6.46;0.46;79.18;0.09;324;0;0;158.00;0
60;0;1674569496422;60;128;385;489;6.50;0.47;79.18;0.09;325;0;0;159.00;0
60;0;1674569496424;60;132;388;489;6.42;0.46;79.18;0.09;328;0;0;160.00;0
60;0;1674569496425;60;137;391;489;6.43;0.46;79.18;0.08;331;0;0;161.00;0
60;0;1674569496426;60;141;393;489;6.45;0.46;79.18;0.08;333;0;0;162.00;0
62;0;1674569496427;62;141;395;489;6.41;0.46;81.69;0.08;333;0;0;163.00;0
63;0;1674569496428;63;146;397;489;6.23;0.45;81.37;0.08;334;0;0;164.00;0
65;0;1674569496430;65;152;402;489;6.11;0.44;82.86;0.08;337;0;0;165.00;0
66;0;1674569496431;66;151;404;489;5.92;0.43;83.39;0.08;338;0;0;166.00;0
66;0;1674569496432;66;155;406;489;5.80;0.42;83.39;0.08;340;0;0;167.00;0
66;0;1674569496433;66;158;407;489;5.73;0.41;83.39;0.08;341;0;0;168.00;0
69;0;1674569496434;69;162;410;489;5.49;0.40;85.26;0.08;341;0;0;169.00;0
69;0;1674569496436;69;164;414;489;5.31;0.38;85.26;0.08;345;0;0;170.00;0
70;0;1674569496437;70;166;417;489;5.18;0.37;86.29;0.08;347;0;0;171.00;0
70;0;1674569496438;70;164;418;489;5.08;0.37;86.29;0.08;348;0;0;172.00;0
71;0;1674569496439;71;165;420;489;5.02;0.36;87.48;0.08;349;0;0;173.00;0
71;0;1674569496441;71;168;422;489;4.96;0.36;87.48;0.08;351;0;0;174.00;0
72;0;1674569496442;72;170;425;489;4.89;0.35;88.29;0.08;353;0;0;175.00;0
73;0;1674569496443;73;171;428;489;4.93;0.35;88.25;0.08;355;0;0;176.00;0
73;0;1674569496445;73;171;429;489;5.00;0.36;88.25;0.08;356;0;0;177.00;0
74;0;1674569496446;74;176;432;489;5.04;0.36;88.88;0.08;358;0;0;178.00;0
75;0;1674569496447;75;175;432;489;5.07;0.37;88.63;0.08;357;0;0;179.00;0
75;0;1674569496448;75;173;437;489;5.09;0.37;88.63;0.08;362;0;0;180.00;0
76;0;1674569496450;76;161;438;489;5.19;0.37;89.39;0.08;362;0;0;181.00;0
77;0;1674569496451;77;152;442;489;5.32;0.38;89.30;0.07;365;0;0;182.00;0
77;0;1674569496453;77;139;443;489;5.56;0.40;89.30;0.07;366;0;0;183.00;0
77;0;1674569496455;77;128;447;489;5.74;0.41;89.30;0.07;370;0;0;184.00;0
78;0;1674569496456;78;117;448;489;5.97;0.43;90.53;0.07;370;0;0;185.00;0
78;0;1674569496458;78;110;451;489;6.23;0.45;90.53;0.07;373;0;0;186.00;0
78;0;1674569496460;78;101;453;489;6.52;0.47;90.53;0.07;375;0;0;187.00;0
79;0;1674569496461;79;93;454;489;6.80;0.49;91.22;0.07;375;0;0;188.00;0
79;0;1674569496463;79;91;459;489;6.97;0.50;91.22;0.07;380;0;0;189.00;1
79;0;1674569496465;79;81;461;489;7.20;0.52;91.22;0.07;382;0;0;190.00;0
79;0;1674569496466;79;77;463;489;7.54;0.54;91.22;0.07;384;0;0;191.00;0
79;0;1674569496468;79;76;465;489;7.80;0.56;91.22;0.07;386;0;0;192.00;0
80;0;1674569496470;80;74;467;489;8.02;0.58;92.19;0.07;387;0;0;193.00;0
80;0;1674569496471;80;78;472;489;8.16;0.59;92.19;0.07;392;0;0;194.00;0
80;0;1674569496473;80;73;474;489;8.30;0.60;92.19;0.07;394;0;0;195.00;0
81;0;1674569496475;81;75;475;489;8.36;0.60;92.58;0.07;394;0;0;196.00;0
82;0;1674569496476;82;77;478;489;8.42;0.61;93.21;0.07;396;0;0;197.00;0
84;0;1674569496478;84;77;481;489;8.46;0.61;95.38;0.07;397;0;0;198.00;0
84;0;1674569496480;84;80;483;489;8.40;0.60;95.38;0.07;399;0;0;199.00;0
86;0;1674569496482;86;85;486;489;8.42;0.61;96.97;0.07;400;0;0;200.00;1
88;0;1674569496484;88;88;488;489;8.46;0.61;98.38;0.07;400;0;0;201.00;0
90;0;1674569496486;90;84;490;969;8.49;0.61;99.41;0.07;400;0;0;202.00;0
93;0;1674569496504;93;86;492;969;8.50;0.61;100.66;0.07;399;0;0;203.00;0
93;0;1674569496506;93;88;496;969;8.43;0.61;100.66;0.07;403;0;0;204.00;0
95;0;1674569496507;95;84;496;969;8.50;0.61;101.62;0.07;401;0;0;205.00;0
96;0;1674569496509;96;86;500;969;8.42;0.61;101.45;0.07;404;0;0;206.00;0
97;0;1674569496511;97;88;503;969;8.47;0.61;101.55;0.07;406;0;0;207.00;0
97;0;1674569496513;97;89;504;969;8.56;0.62;101.55;0.07;407;0;0;208.00;0
97;0;1674569496515;97;98;509;969;8.54;0.62;101.55;0.07;412;0;0;209.00;0
97;0;1674569496516;97;93;510;969;8.60;0.62;101.55;0.07;413;0;0;210.00;0
98;0;1674569496518;98;97;512;969;8.64;0.62;101.22;0.07;414;0;0;211.00;0
101;0;1674569496520;101;103;516;969;8.59;0.62;103.47;0.07;415;0;0;212.00;0
104;0;1674569496522;104;98;516;969;8.69;0.63;105.27;0.07;412;0;0;213.00;0
105;0;1674569496523;105;102;520;969;8.62;0.62;105.45;0.07;415;0;0;214.00;0
109;0;1674569496525;109;105;523;969;8.56;0.62;106.81;0.07;414;0;0;215.00;0
111;0;1674569496527;111;104;524;969;8.53;0.61;108.36;0.07;413;0;0;216.00;0
114;0;1674569496529;114;106;526;969;8.52;0.61;108.42;0.07;412;0;0;217.00;0
119;0;1674569496531;119;105;531;969;8.37;0.60;110.06;0.07;412;0;0;218.00;0
121;0;1674569496532;121;104;533;969;8.28;0.60;110.60;0.07;412;0;0;219.00;0
121;0;1674569496534;121;106;535;969;8.26;0.59;110.60;0.07;414;0;0;220.00;0
125;0;1674569496536;125;109;537;969;8.17;0.59;112.54;0.07;412;0;0;221.00;0
126;0;1674569496537;126;104;537;969;8.23;0.59;113.21;0.07;411;0;0;222.00;0
129;0;1674569496539;129;106;542;969;8.16;0.59;114.26;0.06;413;0;0;223.00;1
131;0;1674569496541;131;97;543;969;8.19;0.59;115.21;0.07;412;0;0;224.00;0
133;0;1674569496543;133;95;546;969;8.19;0.59;115.11;0.07;413;0;0;225.00;0
135;0;1674569496544;135;94;548;969;8.28;0.60;115.21;0.07;413;0;0;226.00;0
137;0;1674569496546;137;94;550;969;8.32;0.60;114.83;0.07;413;0;0;227.00;0
141;0;1674569496548;141;92;553;969;8.34;0.60;115.04;0.07;412;0;0;228.00;0
143;0;1674569496549;143;91;555;969;8.29;0.60;116.31;0.06;412;0;0;229.00;0
148;0;1674569496551;148;92;556;969;8.18;0.59;116.55;0.06;408;0;0;230.00;0
150;0;1674569496553;150;96;559;969;8.12;0.58;116.35;0.06;409;0;0;231.00;0
154;0;1674569496554;154;99;561;969;8.05;0.58;116.71;0.06;407;0;0;232.00;1
155;0;1674569496556;155;105;564;969;8.06;0.58;116.44;0.07;409;0;0;233.00;0
157;0;1674569496557;157;107;568;969;8.03;0.58;116.73;0.07;411;0;0;234.00;0
161;0;1674569496559;161;104;569;969;7.98;0.57;117.89;0.07;408;0;0;235.00;0
161;0;1674569496561;161;112;572;969;7.93;0.57;117.89;0.06;411;0;0;236.00;0
164;0;1674569496562;164;117;575;969;7.80;0.56;119.27;0.06;411;0;0;237.00;0
166;0;1674569496564;166;122;578;969;7.67;0.55;119.95;0.06;412;0;0;238.00;0
170;0;1674569496565;170;121;579;969;7.57;0.54;121.36;0.06;409;0;0;239.00;0
174;0;1674569496567;174;132;584;969;7.44;0.54;122.68;0.06;410;0;0;240.00;0
178;0;1674569496568;178;131;584;969;7.40;0.53;123.72;0.06;406;0;0;241.00;0
181;0;1674569496570;181;136;584;969;7.28;0.52;124.69;0.06;403;0;0;242.00;0
184;0;1674569496571;184;145;591;969;7.00;0.50;125.53;0.06;407;0;0;243.00;0
187;0;1674569496573;187;139;592;969;6.86;0.49;126.12;0.06;405;0;0;244.00;0
191;0;1674569496574;191;144;594;969;6.62;0.48;127.08;0.06;403;0;0;245.00;0
194;0;1674569496576;194;141;597;969;6.51;0.47;126.45;0.06;403;0;0;246.00;0
197;0;1674569496578;197;142;598;969;6.43;0.46;126.70;0.06;401;0;0;247.00;0
202;0;1674569496579;202;142;601;969;6.36;0.46;126.93;0.06;399;0;0;248.00;1
205;0;1674569496581;205;145;605;969;6.34;0.46;126.42;0.06;400;0;0;249.00;0
209;0;1674569496582;209;139;606;969;6.31;0.45;127.13;0.06;397;0;0;250.00;0
211;0;1674569496584;211;139;607;969;6.34;0.46;127.19;0.06;396;0;0;251.00;1
212;0;1674569496586;212;140;613;969;6.31;0.45;126.99;0.06;401;0;0;252.00;0
217;0;1674569496587;217;135;615;969;6.26;0.45;127.60;0.06;398;0;0;253.00;0
219;0;1674569496589;219;134;617;969;6.27;0.45;128.30;0.06;398;0;0;254.00;0
222;0;1674569496590;222;136;620;969;6.25;0.45;128.08;0.06;398;0;0;255.00;0
225;0;1674569496592;225;140;622;969;6.22;0.45;128.44;0.06;397;0;0;256.00;0
226;0;1674569496593;226;143;626;969;6.24;0.45;128.62;0.06;400;0;0;257.00;0
228;0;1674569496595;228;139;627;969;6.27;0.45;128.93;0.06;399;0;0;258.00;0
230;0;1674569496597;230;143;628;969;6.27;0.45;129.06;0.06;398;0;0;259.00;0
230;0;1674569496598;230;145;631;969;6.24;0.45;129.06;0.06;401;0;0;260.00;0
231;0;1674569496600;231;147;634;969;6.14;0.44;129.01;0.06;403;0;0;261.00;0
231;0;1674569496601;231;150;638;969;6.09;0.44;129.01;0.06;407;0;0;262.00;0
232;0;1674569496603;232;147;639;969;6.09;0.44;129.12;0.06;407;0;0;263.00;0
232;0;1674569496604;232;150;640;969;6.09;0.44;129.12;0.06;408;0;0;264.00;0
232;0;1674569496606;232;157;643;969;6.11;0.44;129.12;0.06;411;0;0;265.00;0
232;0;1674569496607;232;157;644;969;6.16;0.44;129.12;0.06;412;0;0;266.00;0
233;0;1674569496609;233;163;648;969;6.18;0.45;129.16;0.06;415;0;0;267.00;0
233;0;1674569496611;233;164;650;969;6.23;0.45;129.16;0.06;417;0;0;268.00;0
234;0;1674569496612;234;164;652;969;6.20;0.45;129.19;0.06;418;0;0;269.00;0
235;0;1674569496614;235;160;654;969;6.24;0.45;128.90;0.06;419;0;0;270.00;0
237;0;1674569496616;237;154;656;969;6.17;0.44;128.92;0.06;419;0;0;271.00;0
238;0;1674569496617;238;155;659;969;6.17;0.44;128.84;0.06;421;0;0;272.00;0
238;0;1674569496619;238;154;662;969;6.19;0.45;128.84;0.06;424;0;0;273.00;0
238;0;1674569496621;238;150;662;969;6.32;0.45;128.84;0.06;424;0;0;274.00;0
240;0;1674569496623;240;149;665;969;6.37;0.46;128.90;0.06;425;0;0;275.00;0
241;0;1674569496625;241;140;666;969;6.50;0.47;128.78;0.06;425;0;0;276.00;0
242;0;1674569496626;242;135;670;969;6.52;0.47;128.64;0.06;428;0;0;277.00;0
243;0;1674569496628;243;128;672;969;6.63;0.48;128.77;0.06;429;0;0;278.00;0
